connection,from,from_role,to,to_role
references,LocalFolder,Information Holder,Part,Service Provider
references,LocalMessage,Information Holder,Address,Service Provider
references,LocalMessage,Information Holder,LocalStore,Service Provider
references,MessageViewInfo,Information Holder,AttachmentResolver,Service Provider
references,MessageViewInfo,Information Holder,Part,Service Provider
references,Store,Information Holder,PushReceiver,Service Provider
creates,AttachmentInfoExtractor,Service Provider,AttachmentViewInfo,Information Holder
creates,Authentication,Service Provider,MessagingException,Information Holder
creates,DefaultBodyFactory,Service Provider,BinaryTempFileBody,Information Holder
creates,DefaultBodyFactory,Service Provider,BinaryTempFileMessageBody,Information Holder
creates,DeferredFileBody,Service Provider,DeferredFileOutputStream,Information Holder
creates,DeferredFileBody,Service Provider,MessagingException,Information Holder
creates,HtmlQuoteCreator,Service Provider,InsertableHtmlContent,Information Holder
creates,ImapConnection,Service Provider,AuthenticationFailedException,Information Holder
creates,ImapConnection,Service Provider,CertificateValidationException,Information Holder
creates,ImapConnection,Service Provider,MessagingException,Information Holder
creates,ImapResponseParser,Service Provider,ImapResponseParserException,Information Holder
creates,ImapResponseParser,Service Provider,NegativeImapResponseException,Information Holder
creates,ImapStoreUriDecoder,Service Provider,ImapStoreSettings,Information Holder
creates,KeyChainKeyManager,Service Provider,CertificateValidationException,Information Holder
creates,KeyChainKeyManager,Service Provider,MessagingException,Information Holder
creates,LocalStore,Service Provider,LocalFolder,Information Holder
creates,LocalStore,Service Provider,LocalMessage,Information Holder
creates,LocalStore,Service Provider,MessagingException,Information Holder
creates,MessageBuilder,Service Provider,MimeMultipart,Information Holder
creates,MessageBuilder,Service Provider,TempFileBody,Information Holder
creates,MessageCryptoHelper,Service Provider,TextBody,Information Holder
creates,MessageExtractor,Service Provider,MessagingException,Information Holder
creates,MessageHeaderParser,Service Provider,MessagingException,Information Holder
creates,MigrationTo43,Service Provider,LocalFolder,Information Holder
creates,MimePartStreamParser,Service Provider,MessagingException,Information Holder
creates,NotificationContentCreator,Service Provider,NotificationContent,Information Holder
creates,PgpMessageBuilder,Service Provider,BinaryMemoryBody,Information Holder
creates,PgpMessageBuilder,Service Provider,BinaryTempFileBody,Information Holder
creates,PgpMessageBuilder,Service Provider,MessagingException,Information Holder
creates,PgpMessageBuilder,Service Provider,TextBody,Information Holder
creates,Pop3Store,Service Provider,MessagingException,Information Holder
creates,Pop3Store,Service Provider,ServerSettings,Information Holder
creates,SettingsExporter,Service Provider,SettingsImportExportException,Information Holder
creates,SmtpTransport,Service Provider,CertificateValidationException,Information Holder
creates,SmtpTransport,Service Provider,MessagingException,Information Holder
creates,TextBodyBuilder,Service Provider,TextBody,Information Holder
creates,TransportProvider,Service Provider,MessagingException,Information Holder
creates,TransportUris,Service Provider,ServerSettings,Information Holder
creates,WebDavFolder,Service Provider,MessagingException,Information Holder
creates,WebDavStoreUriDecoder,Service Provider,WebDavStoreSettings,Information Holder
creates,WebDavTransport,Service Provider,WebDavStore,Information Holder
creates,K9RemoteControl,Information Holder,AccountReceiver,Service Provider
creates,TextBody,Information Holder,SignSafeOutputStream,Service Provider
creates,WebDavStore,Information Holder,WebDavFolder,Service Provider
creates,WebDavStore,Information Holder,WebDavSocketFactory,Service Provider
has,AccountCreator,Service Provider,ConnectionSecurity,Information Holder
has,ActivityListener,Service Provider,Account,Information Holder
has,ActivityListener,Service Provider,AccountStats,Information Holder
has,AlertResponse,Service Provider,ImapResponse,Information Holder
has,AttachmentContentLoader,Service Provider,Attachment,Information Holder
has,AttachmentInfoExtractor,Service Provider,AttachmentViewInfo,Information Holder
has,AttachmentInfoExtractor,Service Provider,LocalMessage,Information Holder
has,AttachmentInfoLoader,Service Provider,Attachment,Information Holder
has,AttachmentResolver,Service Provider,AttachmentViewInfo,Information Holder
has,AttachmentResolver,Service Provider,MessagingException,Information Holder
has,AttachmentViewCallback,Service Provider,AttachmentViewInfo,Information Holder
has,Authentication,Service Provider,MessagingException,Information Holder
has,CapabilityResponse,Service Provider,ImapResponse,Information Holder
has,ChooseAccount,Service Provider,BaseAccount,Information Holder
has,DatabaseUpgradeService,Service Provider,Account,Information Holder
has,DatabaseUpgradeService,Service Provider,UnavailableStorageException,Information Holder
has,DecoderUtil,Service Provider,MessagingException,Information Holder
has,DefaultBodyFactory,Service Provider,BinaryTempFileBody,Information Holder
has,DeviceNotifications,Service Provider,Account,Information Holder
has,DeviceNotifications,Service Provider,MessageReference,Information Holder
has,DeviceNotifications,Service Provider,NotificationContent,Information Holder
has,DeviceNotifications,Service Provider,NotificationHolder,Information Holder
has,DeviceNotifications,Service Provider,NotificationSetting,Information Holder
has,EncryptionDetector,Service Provider,BodyPart,Information Holder
has,FetchBodyCallback,Service Provider,ImapResponse,Information Holder
has,HtmlQuoteCreator,Service Provider,InsertableHtmlContent,Information Holder
has,IdentityHeaderBuilder,Service Provider,Identity,Information Holder
has,IdentityHeaderBuilder,Service Provider,IdentityField,Information Holder
has,IdentityHeaderBuilder,Service Provider,InsertableHtmlContent,Information Holder
has,IdentityHeaderBuilder,Service Provider,MessageReference,Information Holder
has,IdentityHeaderBuilder,Service Provider,QuotedTextMode,Information Holder
has,IdentityHeaderBuilder,Service Provider,SimpleMessageFormat,Information Holder
has,IdentityHeaderBuilder,Service Provider,TextBody,Information Holder
has,IdentityHeaderParser,Service Provider,IdentityField,Information Holder
has,IdentityHelper,Service Provider,Account,Information Holder
has,IdentityHelper,Service Provider,Identity,Information Holder
has,ImapConnection,Service Provider,AuthenticationFailedException,Information Holder
has,ImapConnection,Service Provider,ImapResponse,Information Holder
has,ImapConnection,Service Provider,ImapSettings,Information Holder
has,ImapConnection,Service Provider,NegativeImapResponseException,Information Holder
has,ImapConnection,Service Provider,NetworkType,Information Holder
has,ImapResponseCallback,Service Provider,ImapResponse,Information Holder
has,ImapResponseParser,Service Provider,ImapResponse,Information Holder
has,ImapStoreUriCreator,Service Provider,AuthType,Information Holder
has,ImapStoreUriCreator,Service Provider,ServerSettings,Information Holder
has,ImapStoreUriDecoder,Service Provider,AuthType,Information Holder
has,ImapStoreUriDecoder,Service Provider,ConnectionSecurity,Information Holder
has,ListResponse,Service Provider,ImapResponse,Information Holder
has,LocalMessageExtractorLoader,Service Provider,LocalMessage,Information Holder
has,LocalMessageExtractorLoader,Service Provider,MessageViewInfo,Information Holder
has,LocalMessageLoader,Service Provider,Account,Information Holder
has,LocalMessageLoader,Service Provider,LocalMessage,Information Holder
has,LocalMessageLoader,Service Provider,MessageReference,Information Holder
has,LocalStore,Service Provider,Account,Information Holder
has,LocalStore,Service Provider,BodyPart,Information Holder
has,LocalStore,Service Provider,LocalFolder,Information Holder
has,LocalStore,Service Provider,LocalMessage,Information Holder
has,LocalStore,Service Provider,MessagingException,Information Holder
has,MessageActions,Service Provider,Account,Information Holder
has,MessageActions,Service Provider,MessageReference,Information Holder
has,MessageBuilder,Service Provider,Attachment,Information Holder
has,MessageBuilder,Service Provider,Identity,Information Holder
has,MessageBuilder,Service Provider,InsertableHtmlContent,Information Holder
has,MessageBuilder,Service Provider,MessageReference,Information Holder
has,MessageBuilder,Service Provider,MessagingException,Information Holder
has,MessageBuilder,Service Provider,MimeMultipart,Information Holder
has,MessageBuilder,Service Provider,QuotedTextMode,Information Holder
has,MessageBuilder,Service Provider,SimpleMessageFormat,Information Holder
has,MessageBuilder,Service Provider,TextBody,Information Holder
has,MessageCryptoHelper,Service Provider,BodyPart,Information Holder
has,MessageCryptoHelper,Service Provider,CryptoResultAnnotation,Information Holder
has,MessageCryptoHelper,Service Provider,MessagingException,Information Holder
has,MessageCryptoHelper,Service Provider,TextBody,Information Holder
has,MessageCryptoStructureDetector,Service Provider,BodyPart,Information Holder
has,MessageCryptoStructureDetector,Service Provider,CryptoResultAnnotation,Information Holder
has,MessageCryptoStructureDetector,Service Provider,MimeMultipart,Information Holder
has,MessageExtractor,Service Provider,BodyPart,Information Holder
has,MessageExtractor,Service Provider,MessagingException,Information Holder
has,MessageExtractor,Service Provider,Viewable,Information Holder
has,MessageHelper,Service Provider,BodyPart,Information Holder
has,MessageHelper,Service Provider,MessagingException,Information Holder
has,MessageLoaderHelper,Service Provider,Account,Information Holder
has,MessageLoaderHelper,Service Provider,LocalMessage,Information Holder
has,MessageLoaderHelper,Service Provider,MessageReference,Information Holder
has,MessageLoaderHelper,Service Provider,MessageViewInfo,Information Holder
has,MessageReferenceHelper,Service Provider,MessageReference,Information Holder
has,MessagingListener,Service Provider,Account,Information Holder
has,MessagingListener,Service Provider,AccountStats,Information Holder
has,MessagingListener,Service Provider,BaseAccount,Information Holder
has,MigrationTo41,Service Provider,Account,Information Holder
has,MigrationTo42,Service Provider,LocalFolder,Information Holder
has,MigrationTo43,Service Provider,Account,Information Holder
has,MigrationTo43,Service Provider,LocalFolder,Information Holder
has,MigrationTo46,Service Provider,Flag,Information Holder
has,MigrationTo50,Service Provider,Account,Information Holder
has,MigrationTo51,Service Provider,Account,Information Holder
has,MigrationTo51,Service Provider,Flag,Information Holder
has,MigrationTo55,Service Provider,LocalFolder,Information Holder
has,MigrationTo55,Service Provider,LocalMessage,Information Holder
has,MigrationTo55,Service Provider,MessagingException,Information Holder
has,MigrationTo60,Service Provider,Flag,Information Holder
has,MimeUtility,Service Provider,BodyPart,Information Holder
has,MlfUtils,Service Provider,Account,Information Holder
has,MlfUtils,Service Provider,LocalFolder,Information Holder
has,MlfUtils,Service Provider,MessageReference,Information Holder
has,MlfUtils,Service Provider,MessagingException,Information Holder
has,NamespaceResponse,Service Provider,ImapResponse,Information Holder
has,NotificationActionCreator,Service Provider,Account,Information Holder
has,NotificationActionCreator,Service Provider,MessageReference,Information Holder
has,NotificationContentCreator,Service Provider,Account,Information Holder
has,NotificationContentCreator,Service Provider,LocalMessage,Information Holder
has,NotificationContentCreator,Service Provider,MessageReference,Information Holder
has,OpenPgpApiHelper,Service Provider,Identity,Information Holder
has,PermanentFlagsResponse,Service Provider,ImapResponse,Information Holder
has,PgpMessageBuilder,Service Provider,BinaryTempFileBody,Information Holder
has,PgpMessageBuilder,Service Provider,BodyPart,Information Holder
has,PgpMessageBuilder,Service Provider,ComposeCryptoStatus,Information Holder
has,PgpMessageBuilder,Service Provider,MessagingException,Information Holder
has,PgpMessageBuilder,Service Provider,MimeMultipart,Information Holder
has,Pop3Store,Service Provider,AuthType,Information Holder
has,Pop3Store,Service Provider,ConnectionSecurity,Information Holder
has,Pop3Store,Service Provider,ServerSettings,Information Holder
has,Pop3Store,Service Provider,StoreConfig,Information Holder
has,RemoteControlReceiver,Service Provider,Account,Information Holder
has,ReplyToParser,Service Provider,Account,Information Holder
has,ResponseCodeExtractor,Service Provider,ImapResponse,Information Holder
has,SaveMessageTask,Service Provider,Account,Information Holder
has,SelectOrExamineResponse,Service Provider,ImapResponse,Information Holder
has,SettingsExporter,Service Provider,Account,Information Holder
has,SettingsExporter,Service Provider,ServerSettings,Information Holder
has,SimpleMessageBuilder,Service Provider,MessagingException,Information Holder
has,SimpleMessagingListener,Service Provider,Account,Information Holder
has,SimpleMessagingListener,Service Provider,AccountStats,Information Holder
has,SimpleMessagingListener,Service Provider,BaseAccount,Information Holder
has,SmtpTransport,Service Provider,AuthType,Information Holder
has,SmtpTransport,Service Provider,ConnectionSecurity,Information Holder
has,SmtpTransport,Service Provider,MessagingException,Information Holder
has,SmtpTransport,Service Provider,NegativeSmtpReplyException,Information Holder
has,SmtpTransport,Service Provider,ServerSettings,Information Holder
has,SmtpTransport,Service Provider,StoreConfig,Information Holder
has,SqlQueryBuilder,Service Provider,Account,Information Holder
has,SqlQueryBuilder,Service Provider,LocalFolder,Information Holder
has,SqlQueryBuilder,Service Provider,MessagingException,Information Holder
has,TextBodyBuilder,Service Provider,InsertableHtmlContent,Information Holder
has,TextBodyBuilder,Service Provider,TextBody,Information Holder
has,TextPartFinder,Service Provider,BodyPart,Information Holder
has,TransportProvider,Service Provider,StoreConfig,Information Holder
has,TransportUris,Service Provider,AuthType,Information Holder
has,TransportUris,Service Provider,ConnectionSecurity,Information Holder
has,TransportUris,Service Provider,ServerSettings,Information Holder
has,TrustManagerFactory,Service Provider,LocalKeyStore,Information Holder
has,UntaggedHandler,Service Provider,ImapResponse,Information Holder
has,WebDavFolder,Service Provider,Flag,Information Holder
has,WebDavFolder,Service Provider,HttpGeneric,Information Holder
has,WebDavFolder,Service Provider,WebDavStore,Information Holder
has,WebDavMessage,Service Provider,Flag,Information Holder
has,WebDavStoreUriCreator,Service Provider,ServerSettings,Information Holder
has,WebDavStoreUriDecoder,Service Provider,ConnectionSecurity,Information Holder
has,WebDavTransport,Service Provider,StoreConfig,Information Holder
has,WebDavTransport,Service Provider,WebDavStore,Information Holder
has,AttachmentViewInfo,Information Holder,Part,Service Provider
has,DeferredFileOutputStream,Information Holder,FileFactory,Service Provider
has,ImapResponse,Information Holder,ImapResponseCallback,Service Provider
has,K9RemoteControl,Information Holder,AccountReceiver,Service Provider
has,K9RemoteControl,Information Holder,K9AccountReceptor,Service Provider
has,LocalFolder,Information Holder,AttachmentInfoExtractor,Service Provider
has,LocalFolder,Information Holder,LocalStore,Service Provider
has,LocalMessage,Information Holder,Address,Service Provider
has,LocalMessage,Information Holder,LocalStore,Service Provider
has,MessageViewInfo,Information Holder,AttachmentResolver,Service Provider
has,MessageViewInfo,Information Holder,Part,Service Provider
has,RigidWebView,Information Holder,Clock,Service Provider
has,Store,Information Holder,PushReceiver,Service Provider
has,TextBody,Information Holder,SignSafeOutputStream,Service Provider
has,WebDavStore,Information Holder,WebDavFolder,Service Provider
has,WebDavStore,Information Holder,WebDavHttpClient,Service Provider
